id_child,placement_start_date,placement_end_date,resource_type_on_this_placement,placement_index,removal_county,placement_county,id_provider,placement_length
10014,7/11/24,8/18/24,foster_home,5,Woodford,Woodford,507434,38
10014,8/18/24,7/1/26,kin,6,Woodford,Woodford,NA,682
10015,5/28/26,6/24/26,kin,1,Kane,Stephenson,NA,27
10015,6/24/26,7/1/26,foster_home,2,Kane,Kane,503066,7
10019,9/6/25,9/9/25,foster_home,1,Will,Kendall,503436,3
10019,9/9/25,7/1/26,kin,2,Will,Will,NA,295
10020,1/1/22,6/18/23,foster_home,1,Hancock,Hancock,502308,533
10021,1/1/22,8/14/22,foster_home,1,Will,Will,507157,225
10021,8/14/22,9/26/22,foster_home,2,Will,Clark,500498,43
10021,9/26/22,1/23/23,foster_home,3,Will,Adams,500004,119
10021,1/23/23,2/27/23,foster_home,4,Will,Franklin,502072,35
10021,2/27/23,3/28/25,foster_home,5,Will,St. Clair,506171,760
10021,3/28/25,4/4/25,foster_home,6,Will,Stark,506189,7
10022,1/1/22,8/11/23,foster_home,1,Madison,Clay,500557,587
10022,8/11/23,11/29/23,kin,2,Madison,Mercer,NA,110
10022,11/29/23,10/30/24,foster_home,3,Madison,Union,506397,336
10022,10/30/24,1/5/25,foster_home,4,Madison,Stephenson,506257,67
10022,1/5/25,4/24/26,foster_home,5,Madison,Douglas,501268,474
10023,4/24/25,7/1/26,foster_home,1,Kane,Will,507251,433
10024,1/1/22,6/3/22,foster_home,1,Cook,Cook,500954,153
10024,6/3/22,11/25/24,kin,2,Cook,Cook,NA,906
10024,11/25/24,6/23/26,kin,3,Cook,Cook,NA,575
10024,6/23/26,7/1/26,foster_home,4,Cook,Will,507007,8
10025,1/1/22,4/27/22,kin,1,Marion,Logan,NA,116
10025,4/27/22,8/21/22,kin,2,Marion,Marion,NA,116
10026,1/1/22,8/1/24,kin,1,DuPage,Union,NA,943
10026,8/1/24,8/19/24,foster_home,2,DuPage,Putnam,505713,18
10026,8/19/24,10/9/24,foster_home,3,DuPage,Vermilion,506455,51
10026,10/9/24,7/1/26,kin,4,DuPage,Lee,NA,630
10027,5/6/24,7/1/26,kin,1,Cook,Putnam,NA,786
10028,1/1/22,3/22/23,foster_home,1,DuPage,DuPage,501326,445
10028,3/22/23,8/8/24,foster_home,2,DuPage,Ford,501998,505
10028,8/8/24,11/21/24,foster_home,3,DuPage,DuPage,501580,105
10028,11/21/24,7/1/26,kin,4,DuPage,Logan,NA,587
10033,1/28/22,8/24/23,kin,1,Bond,Bond,NA,573
10033,8/24/23,12/2/23,foster_home,2,Bond,Bond,500101,100
10033,12/2/23,12/11/23,nonfamily,3,Bond,Moultrie,800262,9
10033,12/11/23,7/1/26,foster_home,4,Bond,Brown,500217,933
10034,1/1/22,9/12/22,kin,1,Monroe,Jasper,NA,254
10034,9/12/22,10/12/22,foster_home,2,Monroe,Clinton,500571,30
10034,10/12/22,7/9/24,foster_home,3,Monroe,Monroe,505236,636
10034,7/9/24,7/1/26,foster_home,4,Monroe,Saline,505946,722
10037,1/1/22,6/13/23,kin,1,St. Clair,St. Clair,NA,528
10037,6/13/23,5/7/26,foster_home,2,St. Clair,Pulaski,505684,1059
10037,5/7/26,7/1/26,foster_home,3,St. Clair,Washington,506560,55
10039,1/1/22,10/27/22,foster_home,1,McLean,Woodford,507452,299
10040,1/6/25,2/9/25,foster_home,1,Schuyler,Schuyler,506049,34
10040,2/9/25,3/16/25,foster_home,2,Schuyler,Pike,505624,35
10040,3/16/25,7/1/26,kin,3,Schuyler,Menard,NA,472
10042,3/12/23,10/1/24,kin,1,Winnebago,Kendall,NA,569
10042,10/1/24,7/1/26,foster_home,2,Winnebago,Winnebago,507370,638
10043,10/5/24,11/17/24,foster_home,1,Kendall,Peoria,505463,43
10043,11/17/24,1/13/25,foster_home,2,Kendall,Marshall,504678,57
10043,1/13/25,5/12/25,kin,3,Kendall,Kendall,NA,119
10043,5/12/25,7/1/26,foster_home,4,Kendall,De Witt,501133,415
10044,2/2/22,5/10/24,kin,1,Kane,Kane,NA,828
10044,5/10/24,9/5/24,foster_home,2,Kane,Kane,502953,118
10044,9/5/24,9/22/24,foster_home,3,Kane,Lawrence,504295,17
10044,9/22/24,10/29/24,kin,4,Kane,Kane,NA,37
10044,10/29/24,2/9/25,foster_home,5,Kane,Shelby,506115,103
10044,2/9/25,7/1/26,foster_home,6,Kane,Mason,504703,507
10046,9/14/23,9/28/23,foster_home,1,Kane,Will,507060,14
10047,3/25/24,8/4/24,foster_home,1,DuPage,DuPage,501445,132
10047,8/4/24,4/19/26,foster_home,2,DuPage,Lee,504334,623
10047,4/19/26,7/1/26,kin,3,DuPage,DuPage,NA,73
10049,1/1/22,3/5/22,foster_home,1,Cook,Mason,504702,63
10049,3/5/22,3/31/22,foster_home,2,Cook,Will,507264,26
10049,3/31/22,7/4/23,foster_home,3,Cook,Kane,502888,460
10050,10/14/22,11/24/22,foster_home,1,Piatt,Piatt,505560,41
10050,11/24/22,11/30/22,foster_home,2,Piatt,Richland,505790,6
10050,11/30/22,5/27/23,kin,3,Piatt,LaSalle,NA,178
10050,5/27/23,8/27/23,kin,4,Piatt,Henderson,NA,92
10050,8/27/23,9/14/23,foster_home,5,Piatt,Vermilion,506437,18
10050,9/14/23,12/7/23,foster_home,6,Piatt,Piatt,505563,84
10050,12/7/23,2/18/24,foster_home,7,Piatt,Piatt,505575,73
10050,2/18/24,3/11/24,kin,8,Piatt,Piatt,NA,22
10050,3/11/24,4/2/24,foster_home,9,Piatt,Wayne,506642,22
10050,4/2/24,4/14/24,foster_home,10,Piatt,Piatt,505563,12
10050,4/14/24,4/27/24,foster_home,11,Piatt,Clark,500519,13
10052,1/1/22,8/23/22,kin,1,Jefferson,Jefferson,NA,234
10052,8/23/22,8/31/22,foster_home,2,Jefferson,Jefferson,502609,8
10052,8/31/22,2/26/24,foster_home,3,Jefferson,Jefferson,502591,544
10052,2/26/24,12/20/24,foster_home,4,Jefferson,Tazewell,506377,298
10053,1/29/24,2/4/24,foster_home,1,St. Clair,Williamson,507335,6
10053,2/4/24,5/15/24,kin,2,St. Clair,McDonough,NA,101
10053,5/15/24,6/25/24,foster_home,3,St. Clair,St. Clair,506179,41
10053,6/25/24,4/11/26,foster_home,4,St. Clair,Monroe,505186,655
10053,4/11/26,4/14/26,foster_home,5,St. Clair,Lee,504341,3
10054,6/16/25,6/19/25,foster_home,1,Macon,Macon,504472,3
10054,6/19/25,7/1/26,kin,2,Macon,Macon,NA,377
10055,7/28/25,10/22/25,foster_home,1,Cook,Kane,503133,86
10055,10/22/25,10/28/25,nonfamily,2,Cook,Cook,800056,6
10055,10/28/25,12/16/25,foster_home,3,Cook,Kane,503090,49
10055,12/16/25,5/4/26,foster_home,4,Cook,Will,506883,139
10055,5/4/26,6/29/26,foster_home,5,Cook,DuPage,501371,56
10055,6/29/26,7/1/26,foster_home,6,Cook,Kane,503056,2
10056,9/14/23,1/13/24,kin,1,Will,Franklin,NA,121
10056,1/13/24,2/8/24,foster_home,2,Will,Will,507082,26
10057,3/12/23,6/4/26,kin,1,Peoria,Peoria,NA,1180
10057,6/4/26,6/7/26,foster_home,2,Peoria,Kendall,503429,3
10057,6/7/26,7/1/26,foster_home,3,Peoria,Peoria,505456,24
10058,6/21/26,7/1/26,kin,1,Cook,Cook,NA,10
10059,12/26/24,7/1/26,foster_home,1,DuPage,Crawford,501073,552
10063,1/6/22,1/9/22,foster_home,1,Cook,DuPage,501423,3
10063,1/9/22,8/5/23,foster_home,2,Cook,Cook,500991,573
10067,12/3/23,12/22/23,foster_home,1,Cook,Cook,501001,19
10067,12/22/23,3/20/24,foster_home,2,Cook,Cook,500696,89
10067,3/20/24,3/21/24,foster_home,3,Cook,Cook,500875,1
10067,3/21/24,4/13/24,nonfamily,4,Cook,Hardin,800122,23
10067,4/13/24,7/1/26,kin,5,Cook,Coles,NA,809
10068,1/1/22,7/27/23,foster_home,1,Lake,Lake,503764,572
10068,7/27/23,12/9/25,kin,2,Lake,Pike,NA,866
10068,12/9/25,5/14/26,kin,3,Lake,Fulton,NA,156
10068,5/14/26,7/1/26,kin,4,Lake,Cumberland,NA,48
10073,5/31/25,6/25/25,foster_home,1,Lake,Warren,506531,25
10073,6/25/25,8/25/25,foster_home,2,Lake,Lake,503982,61
10073,8/25/25,10/25/25,kin,3,Lake,Lake,NA,61
10073,10/25/25,12/4/25,kin,4,Lake,Hamilton,NA,40
10073,12/4/25,12/15/25,foster_home,5,Lake,Lake,504222,11
10073,12/15/25,2/19/26,foster_home,6,Lake,Montgomery,505268,66
10073,2/19/26,7/1/26,kin,7,Lake,Lake,NA,132
10074,7/14/24,7/1/26,kin,1,Lake,Lake,NA,717
10075,2/27/22,3/5/22,foster_home,1,Cook,Lake,503768,6
10075,3/5/22,11/8/24,kin,2,Cook,Jasper,NA,979
10075,11/8/24,1/20/25,foster_home,3,Cook,Will,507159,73
10076,1/1/22,3/12/23,foster_home,1,Cook,Kane,503196,435
10076,3/12/23,3/21/23,foster_home,2,Cook,Ogle,505434,9
10082,10/20/24,1/8/25,foster_home,1,Cook,Clinton,500572,80
10082,1/8/25,3/17/25,foster_home,2,Cook,Woodford,507422,68
10082,3/17/25,3/26/25,foster_home,3,Cook,DuPage,501322,9
10082,3/26/25,3/27/25,nonfamily,4,Cook,Alexander,800006,1
10082,3/27/25,3/28/25,nonfamily,5,Cook,Livingston,800197,1
10082,3/28/25,4/9/25,foster_home,6,Cook,Ogle,505400,12
10083,3/4/24,3/13/24,nonfamily,1,Will,Mercer,800249,9
10083,3/13/24,4/5/24,foster_home,2,Will,Cumberland,501077,23
10083,4/5/24,4/7/24,nonfamily,3,Will,Peoria,800266,2
10083,4/7/24,4/21/24,foster_home,4,Will,Carroll,500314,14
10083,4/21/24,7/6/24,foster_home,5,Will,Montgomery,505289,76
10084,1/1/22,1/4/22,kin,1,DuPage,DuPage,NA,3
10084,1/4/22,1/10/24,foster_home,2,DuPage,Pulaski,505678,736
10084,1/10/24,7/11/24,foster_home,3,DuPage,Jersey,502620,183
10084,7/11/24,9/12/24,foster_home,4,DuPage,Boone,500153,63
10084,9/12/24,9/27/24,foster_home,5,DuPage,Tazewell,506377,15
10084,9/27/24,7/1/26,foster_home,6,DuPage,DuPage,501426,642
10087,6/13/22,9/2/22,foster_home,1,Stephenson,Stephenson,506229,81
10087,9/2/22,11/29/24,kin,2,Stephenson,Winnebago,NA,819
10087,11/29/24,8/4/25,foster_home,3,Stephenson,Piatt,505579,248
10087,8/4/25,7/1/26,foster_home,4,Stephenson,Stephenson,506312,331
10088,7/2/22,11/14/23,foster_home,1,Cook,Franklin,502041,500
10088,11/14/23,2/16/24,foster_home,2,Cook,Will,507200,94
10088,2/16/24,3/1/24,foster_home,3,Cook,Cass,500363,14
10088,3/1/24,5/24/24,kin,4,Cook,Rock Island,NA,84
10088,5/24/24,6/2/24,foster_home,5,Cook,Cook,500738,9
10088,6/2/24,6/10/24,kin,6,Cook,Cook,NA,8
10088,6/10/24,12/26/24,foster_home,7,Cook,Will,507055,199
10088,12/26/24,1/19/25,foster_home,8,Cook,Lake,503630,24
10093,3/28/22,8/11/24,foster_home,1,Lake,Wabash,506514,867
10093,8/11/24,8/12/24,nonfamily,2,Lake,LaSalle,800185,1
10097,10/1/25,10/4/25,foster_home,1,DeKalb,Effingham,501910,3
10097,10/4/25,6/16/26,foster_home,2,DeKalb,Bond,500126,255
10097,6/16/26,7/1/26,foster_home,3,DeKalb,Greene,502182,15
10099,4/26/22,11/27/23,kin,1,Cook,Cook,NA,580
10099,11/27/23,1/29/24,foster_home,2,Cook,Cook,500823,63
10099,1/29/24,9/29/25,kin,3,Cook,Gallatin,NA,609
10099,9/29/25,7/1/26,kin,4,Cook,Coles,NA,275
10101,6/14/24,6/15/24,foster_home,1,Kane,Kane,502926,1
10101,6/15/24,7/1/26,foster_home,2,Kane,Kane,502951,746
10103,5/5/22,5/7/22,foster_home,1,Cook,DuPage,501401,2
10103,5/7/22,5/10/22,nonfamily,2,Cook,Cook,800059,3
10103,5/10/22,5/13/22,nonfamily,3,Cook,Whiteside,800358,3
10103,5/13/22,6/11/22,foster_home,4,Cook,Cook,500986,29
10105,1/1/22,4/17/22,kin,1,Cook,Cook,NA,106
10105,4/17/22,7/26/22,kin,2,Cook,Cook,NA,100
10109,1/1/22,9/18/23,kin,1,Sangamon,Sangamon,NA,625
10109,9/18/23,9/10/25,kin,2,Sangamon,Mason,NA,723
10109,9/10/25,10/13/25,kin,3,Sangamon,Sangamon,NA,33
10112,8/24/25,12/9/25,foster_home,1,Franklin,Franklin,502079,107
10112,12/9/25,1/31/26,foster_home,2,Franklin,Franklin,502033,53
10112,1/31/26,7/1/26,kin,3,Franklin,Franklin,NA,151
10114,1/1/22,9/5/24,kin,1,Lake,Iroquois,NA,978
10114,9/5/24,5/20/26,kin,2,Lake,Lake,NA,622
10114,5/20/26,7/1/26,foster_home,3,Lake,Lake,503764,42
10115,9/15/24,6/19/26,kin,1,Winnebago,White,NA,642
10115,6/19/26,7/1/26,foster_home,2,Winnebago,Jo Daviess,502680,12
10116,6/14/26,7/1/26,kin,1,Cook,Moultrie,NA,17
10117,1/1/22,5/28/23,foster_home,1,Lake,Hamilton,502261,512
10117,5/28/23,11/28/23,kin,2,Lake,Lake,NA,184
10117,11/28/23,7/1/26,kin,3,Lake,Lake,NA,946
10118,5/15/26,7/1/26,foster_home,1,DuPage,DuPage,501458,47
10120,1/1/22,1/20/22,foster_home,1,Tazewell,Monroe,505205,19
10120,1/20/22,4/17/22,foster_home,2,Tazewell,Jo Daviess,502689,87
10120,4/17/22,6/23/22,foster_home,3,Tazewell,Tazewell,506367,67
10120,6/23/22,1/17/23,foster_home,4,Tazewell,Macon,504495,208
10121,1/1/22,10/20/22,kin,1,Lake,Franklin,NA,292
10121,10/20/22,1/14/24,kin,2,Lake,LaSalle,NA,451
10121,1/14/24,1/22/24,kin,3,Lake,Lake,NA,8
10122,6/22/26,7/1/26,foster_home,1,Tazewell,Washington,506557,9
10126,1/3/23,1/4/23,nonfamily,1,Tazewell,Tazewell,800330,1
10126,1/4/23,1/26/23,foster_home,2,Tazewell,Christian,500434,22
10126,1/26/23,1/6/26,kin,3,Tazewell,Fulton,NA,1076
10126,1/6/26,3/27/26,foster_home,4,Tazewell,Stephenson,506274,80
10126,3/27/26,7/1/26,kin,5,Tazewell,Putnam,NA,96
10131,1/1/22,11/29/22,foster_home,1,Macon,Morgan,505330,332
10131,11/29/22,12/25/22,foster_home,2,Macon,Macon,504499,26
10132,12/27/25,12/28/25,nonfamily,1,Lake,Woodford,800376,1
10132,12/28/25,7/1/26,foster_home,2,Lake,Hardin,502344,185
10133,10/29/23,11/14/23,foster_home,1,Sangamon,Wayne,506649,16
10133,11/14/23,2/23/24,kin,2,Sangamon,Clay,NA,101
10133,2/23/24,4/15/24,kin,3,Sangamon,Johnson,NA,52
10133,4/15/24,11/12/24,foster_home,4,Sangamon,McLean,504970,211
10133,11/12/24,12/15/24,foster_home,5,Sangamon,Kendall,503425,33
10133,12/15/24,12/21/24,foster_home,6,Sangamon,Sangamon,506020,6
10133,12/21/24,1/30/25,foster_home,7,Sangamon,Sangamon,505997,40
10133,1/30/25,1/31/25,nonfamily,8,Sangamon,Knox,800179,1
10133,1/31/25,4/3/25,kin,9,Sangamon,Sangamon,NA,62
10134,3/1/26,7/1/26,kin,1,McHenry,Morgan,NA,122
10138,2/9/22,4/17/22,foster_home,1,Kendall,Jo Daviess,502675,67
10138,4/17/22,7/16/22,foster_home,2,Kendall,DeKalb,501182,90
10138,7/16/22,6/15/24,kin,3,Kendall,Kendall,NA,700
10138,6/15/24,6/20/24,foster_home,4,Kendall,Kendall,503436,5
10139,1/1/22,8/2/24,kin,1,Cook,Cook,NA,944
10139,8/2/24,6/6/26,foster_home,2,Cook,Cook,500981,673
10139,6/6/26,6/12/26,foster_home,3,Cook,Lake,504088,6
10139,6/12/26,7/1/26,foster_home,4,Cook,DuPage,501699,19
10142,9/18/23,7/1/26,kin,1,Will,Will,NA,1017
10143,5/24/26,5/26/26,foster_home,1,Cook,Lake,503556,2
10143,5/26/26,6/8/26,foster_home,2,Cook,Will,507119,13
10145,1/1/22,5/11/24,foster_home,1,Lake,Lake,503793,861
10145,5/11/24,7/1/26,foster_home,2,Lake,Peoria,505460,781
10146,10/21/23,12/16/23,foster_home,1,McHenry,McHenry,504851,56
10149,10/28/24,7/1/26,foster_home,1,DuPage,DuPage,501750,611
10150,1/1/22,7/9/24,kin,1,Cook,Winnebago,NA,920
10150,7/9/24,10/18/24,foster_home,2,Cook,Lake,503982,101
10150,10/18/24,7/1/26,kin,3,Cook,Douglas,NA,621
10151,1/1/22,12/5/22,kin,1,DuPage,Scott,NA,338
10155,11/7/23,3/14/24,kin,1,Winnebago,Richland,NA,128
10155,3/14/24,5/13/24,kin,2,Winnebago,Winnebago,NA,60
10157,1/1/22,2/15/24,foster_home,1,Lake,Jersey,502640,775
10157,2/15/24,3/4/24,foster_home,2,Lake,Vermilion,506446,18
10160,2/27/25,3/16/25,kin,1,LaSalle,LaSalle,NA,17
10160,3/16/25,4/26/25,foster_home,2,LaSalle,Boone,500155,41
10160,4/26/25,7/1/26,kin,3,LaSalle,LaSalle,NA,431
10163,4/12/24,7/1/26,foster_home,1,Cook,Lake,503952,810
10166,1/1/22,12/17/23,foster_home,1,Lake,Pulaski,505694,715
10166,12/17/23,12/19/23,foster_home,2,Lake,Henry,502407,2
10168,10/28/24,10/30/24,foster_home,1,Mason,Mason,504718,2
10168,10/30/24,10/31/24,nonfamily,2,Mason,Menard,800245,1
10168,10/31/24,12/23/24,foster_home,3,Mason,Woodford,507433,53
10171,7/25/24,12/20/24,kin,1,Woodford,Woodford,NA,148
10171,12/20/24,2/16/25,kin,2,Woodford,Woodford,NA,58
10171,2/16/25,3/18/25,kin,3,Woodford,Edgar,NA,30
10171,3/18/25,7/7/25,foster_home,4,Woodford,Bond,500102,111
10171,7/7/25,7/1/26,foster_home,5,Woodford,Woodford,507455,359
10172,7/24/22,7/26/22,foster_home,1,Clinton,Hardin,502329,2
10172,7/26/22,1/30/23,foster_home,2,Clinton,Hardin,502350,188
10172,1/30/23,4/27/23,foster_home,3,Clinton,Adams,500007,87
10173,1/1/22,2/8/23,foster_home,1,Cook,Will,506782,403
10173,2/8/23,4/16/23,foster_home,2,Cook,DuPage,501508,67
10174,12/1/22,1/6/23,kin,1,Cook,Kane,NA,36
10174,1/6/23,1/24/23,kin,2,Cook,LaSalle,NA,18
10174,1/24/23,1/27/23,foster_home,3,Cook,DuPage,501794,3
10174,1/27/23,2/10/23,kin,4,Cook,Cook,NA,14
10174,2/10/23,2/12/23,foster_home,5,Cook,Morgan,505321,2
10174,2/12/23,2/13/23,foster_home,6,Cook,Will,506996,1
10174,2/13/23,2/25/23,foster_home,7,Cook,Will,506794,12
10174,2/25/23,5/21/23,kin,8,Cook,Cook,NA,85
10174,5/21/23,6/13/23,foster_home,9,Cook,Kane,502813,23
10174,6/13/23,3/22/26,kin,10,Cook,Cook,NA,1013
10174,3/22/26,4/9/26,foster_home,11,Cook,Lake,503951,18
10175,10/19/22,1/15/23,foster_home,1,Winnebago,Edgar,501848,88
10175,1/15/23,3/29/25,foster_home,2,Winnebago,Bond,500110,804
10175,3/29/25,6/26/25,kin,3,Winnebago,Winnebago,NA,89
10175,6/26/25,7/26/25,foster_home,4,Winnebago,Winnebago,507345,30
10175,7/26/25,11/19/25,foster_home,5,Winnebago,Washington,506587,116
10175,11/19/25,1/29/26,foster_home,6,Winnebago,Effingham,501928,71
10176,1/1/22,2/6/22,foster_home,1,DuPage,Scott,506063,36
10176,2/6/22,2/7/22,foster_home,2,DuPage,DuPage,501747,1
10176,2/7/22,2/26/22,foster_home,3,DuPage,Mercer,505139,19
10176,2/26/22,6/6/24,kin,4,DuPage,Williamson,NA,831
10176,6/6/24,3/8/25,foster_home,5,DuPage,Jo Daviess,502695,275
10176,3/8/25,6/9/25,foster_home,6,DuPage,Williamson,507342,93
10176,6/9/25,7/1/26,foster_home,7,DuPage,Jackson,502489,387
10177,11/5/23,9/1/24,kin,1,Winnebago,Hardin,NA,301
10177,9/1/24,7/1/26,kin,2,Winnebago,Pope,NA,668
10179,1/1/22,7/28/22,foster_home,1,DuPage,Randolph,505767,208
10179,7/28/22,2/14/23,kin,2,DuPage,Morgan,NA,201
10179,2/14/23,2/26/23,foster_home,3,DuPage,Rock Island,505862,12
10179,2/26/23,3/21/23,foster_home,4,DuPage,Gallatin,502145,23
10179,3/21/23,5/4/23,foster_home,5,DuPage,Macon,504498,44
10179,5/4/23,9/3/23,nonfamily,6,DuPage,Macon,800204,122
10179,9/3/23,5/12/26,foster_home,7,DuPage,McDonough,504806,982
10179,5/12/26,5/18/26,foster_home,8,DuPage,Jersey,502629,6
10181,1/1/22,7/6/22,foster_home,1,Cook,Will,507063,186
10181,7/6/22,8/22/24,kin,2,Cook,Washington,NA,778
10181,8/22/24,9/29/24,foster_home,3,Cook,Cook,500687,38
10181,9/29/24,12/16/24,kin,4,Cook,Cook,NA,78
10181,12/16/24,1/13/25,foster_home,5,Cook,DuPage,501373,28
10182,1/1/22,2/6/23,kin,1,LaSalle,Menard,NA,401
10182,2/6/23,2/22/23,foster_home,2,LaSalle,Moultrie,505359,16
10183,5/25/24,3/29/26,foster_home,1,Cook,Massac,504741,673
10183,3/29/26,4/29/26,foster_home,2,Cook,Kane,502769,31
10183,4/29/26,7/1/26,kin,3,Cook,Cook,NA,63
10184,4/7/25,5/2/25,foster_home,1,Will,LaSalle,503549,25
10184,5/2/25,7/1/26,foster_home,2,Will,Jersey,502657,425
10185,1/1/22,12/27/22,foster_home,1,Will,Macon,504496,360
10185,12/27/22,6/10/25,kin,2,Will,Will,NA,896
10186,1/1/22,9/17/23,foster_home,1,Kane,Shelby,506109,624
10186,9/17/23,7/1/26,foster_home,2,Kane,Kane,503055,1018
10188,11/8/25,7/1/26,foster_home,1,DuPage,Ford,501994,235
10189,1/1/22,9/19/23,foster_home,1,Will,Ford,502004,626
10189,9/19/23,10/30/23,foster_home,2,Will,Edwards,501880,41
10189,10/30/23,9/21/25,kin,3,Will,Will,NA,692
10189,9/21/25,12/31/25,kin,4,Will,De Witt,NA,101
10189,12/31/25,7/1/26,foster_home,5,Will,Fulton,502093,182
10190,6/3/22,9/21/22,foster_home,1,Bond,Bond,500108,110
10190,9/21/22,10/24/22,nonfamily,2,Bond,Greene,800111,33
10190,10/24/22,12/6/22,foster_home,3,Bond,Bond,500103,43
10190,12/6/22,1/17/23,foster_home,4,Bond,Bond,500115,42
10190,1/17/23,2/8/23,foster_home,5,Bond,Bond,500100,22
10190,2/8/23,4/23/23,kin,6,Bond,Bond,NA,74
10190,4/23/23,5/21/26,kin,7,Bond,Macoupin,NA,1124
10190,5/21/26,7/1/26,foster_home,8,Bond,Bond,500117,41
10192,9/20/23,12/1/23,foster_home,1,Will,Pulaski,505697,72
10192,12/1/23,9/3/25,foster_home,2,Will,Will,506835,642
10193,1/1/22,7/23/22,kin,1,Woodford,Mason,NA,203
10195,7/3/23,7/29/23,foster_home,1,Christian,Christian,500480,26
10195,7/29/23,8/18/23,foster_home,2,Christian,Christian,500471,20
10195,8/18/23,6/19/26,kin,3,Christian,Kendall,NA,1036
10195,6/19/26,7/1/26,kin,4,Christian,Christian,NA,12
10196,11/30/24,8/2/25,foster_home,1,McHenry,Cook,500985,245
10196,8/2/25,7/1/26,kin,2,McHenry,McHenry,NA,333
10197,8/19/25,10/7/25,foster_home,1,Lake,Cook,500744,49
10197,10/7/25,10/14/25,foster_home,2,Lake,Lake,503601,7
10197,10/14/25,4/19/26,kin,3,Lake,Warren,NA,187
10199,11/28/24,7/1/26,kin,1,Cook,Macon,NA,580
10202,1/1/22,3/27/23,kin,1,McDonough,McDonough,NA,450
10202,3/27/23,8/28/25,foster_home,2,McDonough,Montgomery,505273,885
10202,8/28/25,1/3/26,kin,3,McDonough,McDonough,NA,128
10202,1/3/26,1/19/26,foster_home,4,McDonough,Warren,506525,16
10203,1/1/22,1/17/23,foster_home,1,DuPage,DuPage,501588,381
10203,1/17/23,8/8/23,kin,2,DuPage,Christian,NA,203
10203,8/8/23,9/19/23,kin,3,DuPage,DuPage,NA,42
10203,9/19/23,8/9/25,foster_home,4,DuPage,Clay,500544,690
10203,8/9/25,8/15/25,foster_home,5,DuPage,McHenry,504889,6
10203,8/15/25,11/28/25,foster_home,6,DuPage,DuPage,501369,105
10205,1/1/22,11/3/23,kin,1,Cook,Franklin,NA,671
10205,11/3/23,1/28/25,foster_home,2,Cook,Kane,503147,452
10207,1/1/22,4/17/22,kin,1,Jersey,Jersey,NA,106
10207,4/17/22,4/28/22,foster_home,2,Jersey,Jersey,502627,11
10207,4/28/22,5/13/23,kin,3,Jersey,Jersey,NA,380
10207,5/13/23,9/4/23,foster_home,4,Jersey,Clinton,500575,114
10208,4/1/23,4/15/23,foster_home,1,Champaign,Boone,500186,14
10208,4/15/23,6/14/23,foster_home,2,Champaign,DuPage,501504,60
10208,6/14/23,11/16/25,kin,3,Champaign,McDonough,NA,886
10208,11/16/25,7/1/26,foster_home,4,Champaign,Douglas,501230,227
10211,1/1/22,12/6/22,foster_home,1,Cook,Kane,502882,339
10211,12/6/22,1/28/23,nonfamily,2,Cook,Logan,800198,53
10212,12/8/22,1/31/23,kin,1,Kane,Kane,NA,54
10212,1/31/23,2/5/23,foster_home,2,Kane,Kane,502954,5
10212,2/5/23,8/23/23,kin,3,Kane,Calhoun,NA,199
10212,8/23/23,2/17/24,kin,4,Kane,Kane,NA,178
10212,2/17/24,5/2/24,foster_home,5,Kane,Kane,503162,75
