id_child,removal_date,discharge_date,age_at_removal,most_recent_age,removal_county
10131,1/1/22,12/25/22,14,14,Macon
10132,12/27/25,NA,10,10,Lake
10133,10/29/23,4/3/25,13,14,Sangamon
10134,3/1/26,NA,15,15,McHenry
10138,2/9/22,6/20/24,5,7,Kendall
10139,1/1/22,NA,0,4,Cook
10142,9/18/23,NA,11,13,Will
10143,5/24/26,6/8/26,14,14,Cook
10145,1/1/22,NA,3,7,Lake
10146,10/21/23,12/16/23,0,0,McHenry
10149,10/28/24,NA,16,17,DuPage
10150,1/1/22,NA,13,17,Cook
10151,1/1/22,12/5/22,6,6,DuPage
10155,11/7/23,5/13/24,11,11,Winnebago
10157,1/1/22,3/4/24,15,17,Lake
10160,2/27/25,NA,13,14,LaSalle
10163,4/12/24,NA,4,6,Cook
10166,1/1/22,12/19/23,13,14,Lake
10168,10/28/24,12/23/24,9,9,Mason
10171,7/25/24,NA,16,17,Woodford
10172,7/24/22,4/27/23,0,0,Clinton
10173,1/1/22,4/16/23,12,13,Cook
10174,12/1/22,4/9/26,1,4,Cook
10175,10/19/22,1/29/26,5,8,Winnebago
10176,1/1/22,NA,11,15,DuPage
10177,11/5/23,NA,12,14,Winnebago
10179,1/1/22,5/18/26,8,12,DuPage
10181,1/1/22,1/13/25,14,17,Cook
10182,1/1/22,2/22/23,10,11,LaSalle
10183,5/25/24,NA,15,17,Cook
10184,4/7/25,NA,15,16,Will
10185,1/1/22,6/10/25,4,7,Will
10186,1/1/22,NA,10,14,Kane
10188,11/8/25,NA,9,9,DuPage
10189,1/1/22,NA,3,7,Will
10190,6/3/22,NA,13,17,Bond
10192,9/20/23,9/3/25,5,6,Will
10193,1/1/22,7/23/22,10,10,Woodford
10195,7/3/23,NA,5,7,Christian
10196,11/30/24,NA,14,15,McHenry
10197,8/19/25,4/19/26,4,4,Lake
10199,11/28/24,NA,8,9,Cook
10202,1/1/22,1/19/26,4,8,McDonough
10203,1/1/22,11/28/25,13,16,DuPage
10205,1/1/22,1/28/25,6,9,Cook
10207,1/1/22,9/4/23,4,5,Jersey
10208,4/1/23,NA,9,12,Champaign
10211,1/1/22,1/28/23,4,5,Cook
10212,12/8/22,5/2/24,15,16,Kane
10213,3/26/26,NA,2,2,Bond
10214,7/30/24,NA,10,11,Kane
10215,10/21/25,11/23/25,14,14,Lake
10218,5/22/26,NA,3,3,McLean
10220,11/10/22,NA,0,3,DuPage
10221,5/23/26,NA,16,16,DuPage
10222,1/9/25,NA,7,8,Cook
10223,12/19/23,NA,14,16,Lake
10224,1/1/22,NA,3,7,Clay
10225,1/1/22,5/20/23,3,4,Cook
10226,5/11/22,12/16/22,12,12,Cook
10227,1/1/22,5/31/24,7,9,Cook
10228,3/31/23,4/27/26,11,14,St. Clair
10230,1/1/22,NA,1,5,McHenry
10231,1/1/22,2/2/22,1,1,Woodford
10232,7/24/25,NA,10,10,Madison
10233,1/1/22,3/20/26,11,15,Rock Island
10235,1/4/24,NA,4,6,Will
10240,1/1/22,6/20/24,4,6,Winnebago
10241,1/1/25,NA,4,5,Vermilion
10242,7/8/22,NA,6,9,LaSalle
10243,3/14/22,10/15/24,13,15,White
10244,11/26/25,NA,1,1,Lake
10245,1/4/24,NA,9,11,DuPage
10246,1/1/22,NA,11,15,Lake
10247,1/1/22,9/13/25,4,7,Cook
10248,1/1/22,NA,3,7,Cook
10249,8/1/25,NA,3,3,Whiteside
10263,8/27/25,NA,0,0,Cook
10266,1/1/22,1/30/25,7,10,DuPage
10267,1/1/22,5/25/23,12,13,Cook
10270,2/26/24,NA,0,2,DuPage
10271,10/6/24,NA,12,13,Rock Island
10272,1/1/22,3/5/24,10,12,Jackson
10273,1/27/26,NA,6,6,Will
10275,4/8/26,NA,14,14,Lake
10276,1/1/22,NA,9,13,DuPage
10277,1/1/22,NA,11,15,Cook
10281,1/1/22,3/29/26,3,7,Lake
10286,1/1/22,5/12/23,14,15,Kane
10289,1/4/23,3/27/23,3,3,Cook
10293,9/22/25,9/28/25,1,1,Lake
10294,1/1/22,NA,4,8,Cook
10297,1/1/22,NA,12,16,Will
10300,1/1/22,NA,5,9,DuPage
10301,12/10/25,NA,13,13,McLean
10302,7/17/25,NA,3,3,Lake
10303,10/27/25,NA,7,7,DuPage
10304,1/1/22,3/22/24,6,8,Will
10306,11/27/23,NA,12,14,Rock Island
10310,12/12/24,NA,12,13,Cook
10312,1/1/22,NA,2,6,Lake
10313,12/13/25,NA,2,2,DuPage
10316,4/14/22,NA,12,16,McHenry
10317,1/1/22,7/7/25,7,10,Cook
10318,1/1/22,7/1/22,9,9,Ogle
10319,1/1/22,1/17/22,4,4,Sangamon
10321,1/1/22,8/20/23,8,9,Winnebago
10323,3/12/22,8/15/22,6,6,McHenry
10324,1/1/22,NA,11,15,Lake
10330,1/1/22,9/17/25,7,10,Will
10333,1/1/22,1/20/26,6,10,Coles
10334,6/16/25,NA,12,13,Kane
10335,1/1/22,4/24/23,6,7,Boone
10337,2/8/22,NA,7,11,DuPage
10343,1/1/22,NA,13,17,Kendall
10344,1/1/22,6/1/22,15,15,DuPage
10347,1/1/22,NA,2,6,Kane
10349,1/1/22,2/10/22,9,9,Will
10350,1/1/22,8/10/22,16,16,DuPage
10352,1/1/22,NA,5,9,Kane
10353,6/8/24,7/3/24,15,15,Lee
10356,1/1/22,NA,11,15,Jefferson
10359,1/1/22,NA,11,15,DuPage
10360,7/22/22,NA,2,5,DuPage
10369,1/1/22,NA,5,9,Cass
10371,12/31/25,NA,1,1,McHenry
10373,1/1/22,NA,2,6,Iroquois
10374,1/1/22,2/16/24,2,4,Will
10375,8/1/23,8/22/23,15,15,Lake
10378,4/12/24,8/23/25,16,17,Winnebago
10380,1/1/22,NA,0,4,Cook
10381,12/10/24,NA,16,17,Kane
10382,1/1/22,2/14/25,14,17,Cook
10384,1/9/22,11/19/22,15,15,Warren
10385,9/27/24,NA,6,7,Kane
10386,1/1/22,NA,1,5,Will
10388,2/21/23,12/10/25,11,13,Lake
10391,5/23/26,NA,0,0,Macoupin
10393,1/1/22,NA,3,7,Lake
10394,1/1/22,8/3/22,15,15,DuPage
10396,1/1/22,8/25/22,8,8,Cook
10398,5/21/26,NA,0,0,Cook
10399,3/7/22,6/9/22,1,1,Will
10400,1/1/22,5/7/22,15,15,DuPage
10401,5/9/26,NA,15,15,Cook
10403,1/1/22,8/26/25,12,15,Madison
10405,5/24/25,12/21/25,1,1,Cook
10408,1/1/22,11/21/22,14,14,St. Clair
10409,3/7/25,2/6/26,3,3,DuPage
10413,1/18/25,3/6/25,15,15,Lake
10414,6/17/25,NA,10,11,Vermilion
10415,10/20/23,11/23/24,12,13,Fulton
10417,1/1/22,NA,4,8,DuPage
10418,1/1/22,4/28/23,4,5,Warren
10419,1/1/22,NA,5,9,Champaign
10420,10/28/23,NA,11,13,Madison
10421,10/26/24,NA,0,1,Cook
10422,4/22/22,4/17/26,10,13,Lake
10424,9/5/24,NA,16,17,Will
10426,1/1/22,NA,5,9,Kane
10427,1/9/24,1/14/24,4,4,St. Clair
10430,1/1/22,6/28/22,2,2,Christian
10431,1/1/22,NA,4,8,McHenry
10433,1/1/22,4/15/26,6,10,Lake
10434,2/16/24,NA,11,13,Kane
10436,1/1/22,9/5/24,14,16,Cook
10438,2/27/22,6/8/25,14,17,DuPage
10440,7/13/24,NA,8,9,Lake
10443,1/1/22,NA,7,11,Cook
10445,1/1/22,6/21/26,11,15,Adams
10447,10/3/25,NA,14,14,Cook
10448,1/1/22,5/11/22,7,7,DeKalb
10449,8/14/24,3/17/26,6,7,Kane
10450,1/1/22,6/6/26,2,6,Winnebago
10451,5/4/22,2/23/24,8,9,Cook
10452,1/1/22,1/10/22,5,5,McHenry
10453,9/7/24,9/17/24,14,14,DuPage
10458,1/1/22,12/3/22,17,17,Champaign
10461,3/29/24,NA,15,17,Lake
10462,7/9/24,NA,8,9,Mercer
10463,1/1/22,5/7/24,0,2,Richland
10468,1/1/22,2/26/26,9,13,Champaign
10470,1/1/22,6/4/22,13,13,DuPage
10471,4/17/23,1/10/25,13,14,Cook
10472,1/1/22,4/5/26,0,4,Kane
10473,1/7/22,NA,4,8,DuPage
10474,1/1/22,NA,12,16,Will
10475,11/20/25,NA,1,1,LaSalle
10477,1/1/22,NA,8,12,Cook
10479,1/23/25,4/14/25,15,15,Lake
10481,3/20/23,12/15/23,10,10,Will
10484,7/9/22,NA,1,4,Knox
10485,1/1/22,7/8/24,15,17,Morgan
10488,4/16/24,NA,1,3,Macoupin
10490,12/15/25,NA,14,14,Madison
10491,10/12/25,NA,14,14,Shelby
10494,11/2/22,2/20/26,0,3,Will
10496,7/3/24,NA,3,4,Kane
10499,1/1/22,10/9/24,2,4,DuPage
10500,1/1/22,4/25/25,10,13,DuPage
10501,7/17/22,NA,3,6,Cook
10509,8/7/22,4/6/25,1,3,Will
10510,9/25/22,6/16/25,12,14,Henry
10511,5/16/26,NA,13,13,Cook
10512,6/30/22,8/2/24,3,5,Cook
10513,3/25/24,NA,15,17,Cook
10515,1/1/22,NA,12,16,Kankakee
10518,6/15/25,9/16/25,3,3,Rock Island
10522,3/17/24,10/9/25,6,7,De Witt
10524,1/1/22,1/28/25,13,16,Will
10525,3/15/22,11/9/24,14,16,Cook
10527,9/11/23,NA,10,12,McLean
10529,3/26/26,NA,5,5,Peoria
10531,1/1/22,2/20/25,3,6,Cook
10533,1/1/22,11/12/23,10,11,Lake
10534,1/1/22,6/19/26,8,12,Cook
10536,1/1/22,1/18/22,1,1,Cook
10539,3/7/22,5/13/22,6,6,Lake
10540,1/1/22,3/5/25,12,15,Cook
10541,1/1/22,1/26/23,12,13,Cook
10542,3/22/23,NA,4,7,Cook
10543,3/29/24,NA,12,14,Madison
10544,1/1/22,8/14/23,5,6,DuPage
10545,1/1/22,8/13/24,8,10,Cook
10546,1/1/22,NA,2,6,Cook
10548,2/2/22,NA,6,10,Macoupin
10549,1/1/22,NA,12,16,Sangamon
10550,10/24/23,2/3/24,16,16,Vermilion
10554,11/14/22,NA,1,4,Johnson
10555,1/1/22,NA,2,6,Cook
10557,1/1/22,11/1/24,2,4,Cook
10558,1/1/22,10/12/25,8,11,DeKalb
10559,7/14/22,12/18/24,2,4,LaSalle
10561,9/1/22,9/26/25,3,6,Cook
10563,1/6/26,NA,9,9,Kankakee
10565,1/1/22,NA,12,16,Champaign
10567,8/16/25,NA,3,3,McHenry
10568,2/22/23,NA,10,13,Will
10569,1/1/22,5/9/24,8,10,Cook
10570,1/1/22,NA,2,6,Cook
10572,7/21/22,NA,1,4,Will
10574,1/1/22,9/3/22,13,13,Will
10575,1/1/22,8/8/25,12,15,Lake
10578,2/23/22,NA,3,7,Will
10581,1/1/22,4/11/23,2,3,Kendall
10582,1/18/23,NA,7,10,Cook
10583,1/1/22,NA,10,14,DuPage
10585,4/23/22,NA,10,14,DeKalb
10588,9/19/25,NA,4,4,Boone
10593,1/29/25,NA,3,4,Cook
10594,6/8/25,8/5/25,2,2,DuPage
10595,8/10/24,1/5/25,4,4,Stephenson
10596,1/31/24,NA,8,10,Grundy
10598,4/16/24,5/12/24,2,2,DuPage
10599,7/17/23,5/18/25,1,2,Cook
10601,1/5/25,NA,5,6,Kendall
10602,9/28/22,NA,10,13,Cook
10603,4/28/26,NA,17,17,Cook
10604,9/9/24,NA,9,10,Pope
10608,1/1/22,5/14/23,16,17,Cook
10610,2/5/25,2/10/25,17,17,DuPage
10611,1/1/22,NA,10,14,Christian
10614,1/1/22,2/7/26,10,14,McHenry
10615,5/29/23,4/25/24,9,9,DuPage
10616,5/18/22,7/10/23,7,8,Rock Island
10617,9/5/24,NA,5,6,Adams
10618,9/3/25,NA,6,6,DuPage
10620,11/24/24,NA,14,15,Will
10622,1/10/26,NA,12,12,St. Clair
10624,1/1/22,3/23/23,15,16,McLean
10626,4/12/23,NA,10,13,McLean
10627,8/6/22,11/1/22,5,5,Moultrie
10628,4/22/24,NA,5,7,Lake
10629,8/30/25,NA,17,17,Cook
10630,1/1/22,NA,11,15,Will
10632,1/1/22,4/3/22,15,15,Cook
10634,1/1/22,NA,8,12,Will
10639,1/1/22,5/17/22,14,14,Lake
10641,11/19/23,NA,13,15,Clay
10642,3/23/24,NA,9,11,Lake
10643,1/1/22,7/28/25,6,9,Cook
10645,1/7/25,NA,1,2,McHenry
10646,1/1/22,12/5/25,13,16,Cook
10647,1/4/22,NA,2,6,Richland
10651,8/14/23,NA,10,12,Will
10652,1/1/22,NA,10,14,Cook
10653,4/14/26,NA,13,13,McHenry
10654,1/1/22,3/12/23,14,15,Cass
10655,1/1/22,8/4/23,15,16,Winnebago
10656,1/1/22,NA,13,17,Lake
10661,1/1/22,NA,4,8,DuPage
10665,10/26/23,5/1/24,7,7,Boone
10666,3/15/25,NA,8,9,Cook
10667,1/1/22,NA,5,9,Cook
10669,12/18/24,NA,1,2,Franklin
10670,6/30/26,NA,8,8,DuPage
10672,1/1/22,12/15/22,0,0,Lake
10673,9/20/23,8/1/25,7,8,LaSalle
10674,1/1/22,12/11/22,7,7,Cook
10676,1/1/22,11/25/22,7,7,Cook
10677,1/1/22,7/22/22,17,17,Lake
10678,6/24/22,5/4/23,1,1,Will
10679,1/1/22,1/12/22,6,6,Lake
10681,5/8/22,NA,9,13,DuPage
10682,8/15/25,NA,0,0,Knox
10683,1/1/22,NA,5,9,Will
10684,1/1/22,NA,0,4,Will
10685,1/1/22,7/11/24,15,17,Piatt
10687,5/8/23,NA,9,12,Kankakee
10688,5/13/26,NA,9,9,Cook
10689,1/1/22,11/11/23,5,6,DuPage
10690,1/1/24,NA,4,6,De Witt
10692,8/24/25,NA,12,12,Kane
10693,9/26/22,1/26/26,2,5,Peoria
10696,6/9/23,NA,0,3,Lake
10701,1/1/22,1/20/22,5,5,Kankakee
10710,12/10/25,NA,15,15,Will
10712,1/1/22,8/13/22,10,10,Christian
10714,1/1/22,2/2/24,4,6,Cook
10715,5/4/24,4/3/26,8,9,DuPage
10716,3/7/24,3/27/24,2,2,Cook
10719,1/1/22,NA,3,7,Cook
10720,1/1/22,7/16/22,2,2,Moultrie
10723,1/1/22,12/29/23,2,3,DuPage
10726,1/1/22,NA,1,5,Champaign
10727,6/21/23,NA,14,17,LaSalle
10732,4/9/25,NA,10,11,Cook
10733,1/1/22,NA,5,9,DuPage
10735,3/13/25,3/22/25,6,6,DuPage
10736,1/1/22,10/21/22,9,9,Cook
10739,10/29/25,3/8/26,11,11,Cook
10741,1/1/22,1/19/23,6,7,Cumberland
10745,2/4/25,3/24/26,12,13,Cass
10746,12/29/22,NA,13,16,Cook
10747,1/1/22,4/23/24,0,2,Livingston
10749,1/1/22,9/24/24,2,4,Kane
10750,1/1/22,NA,0,4,Lake
10755,5/26/22,NA,5,9,Will
10756,1/1/22,11/20/25,12,15,Kendall
10757,1/1/22,6/30/22,15,15,Cook
10758,1/1/22,2/8/22,1,1,DuPage
10762,9/20/24,2/27/26,0,1,Madison
10763,9/20/25,NA,3,3,DuPage
10764,12/21/22,NA,8,11,Adams
10765,1/1/22,1/28/22,10,10,Cook
10767,8/15/25,NA,4,4,Will
10768,1/1/22,6/8/22,0,0,DuPage
10771,3/23/23,NA,3,6,Cook
10772,1/1/22,NA,11,15,Shelby
10774,1/1/22,NA,10,14,DuPage
10775,1/1/22,1/20/22,17,17,Will
10776,1/1/22,2/24/26,11,15,Cook
10779,1/1/22,1/12/23,10,11,Kane
10780,12/16/22,NA,11,14,McLean
10784,7/19/24,NA,6,7,Kane
10785,1/1/22,4/14/26,9,13,DuPage
10788,6/21/26,NA,7,7,Woodford
10790,5/12/23,NA,10,13,McHenry
10792,8/13/22,10/11/25,0,3,DuPage
10795,1/1/22,5/8/22,8,8,Lake
10796,7/5/22,NA,3,6,Cook
10798,1/1/22,1/17/23,14,15,Ogle
10805,12/9/23,NA,2,4,Bond
10806,1/1/22,NA,11,15,Kane
10808,1/1/22,NA,1,5,DuPage
10809,1/1/22,3/22/25,11,14,Stark
10810,1/13/24,NA,11,13,Cook
10811,1/1/22,8/13/22,12,12,McHenry
10812,1/2/25,NA,13,14,Cook
10813,2/27/24,3/7/24,1,1,Will
10814,1/6/22,NA,5,9,Cook
10816,1/9/25,NA,7,8,Cook
10820,7/7/22,NA,5,8,DuPage
10823,1/1/22,3/18/22,1,1,Kane
10824,1/1/22,8/27/24,11,13,Rock Island
10825,1/1/22,7/27/22,4,4,Cook
10827,5/19/22,4/1/23,12,12,Knox
10828,5/10/25,9/14/25,0,0,Kendall
10830,1/1/22,NA,10,14,Peoria
10832,1/1/22,NA,6,10,Cook
10834,1/1/22,5/15/25,3,6,Lake
10835,1/1/22,NA,13,17,Madison
10837,2/26/25,NA,16,17,Will
10838,1/1/22,10/13/23,2,3,DuPage
10839,9/13/22,NA,13,16,DuPage
10840,10/24/23,5/27/26,5,7,Cook
10841,1/1/22,NA,5,9,Cook
10843,1/1/22,7/25/23,9,10,Monroe
10845,1/1/22,7/27/23,3,4,Tazewell
10846,11/9/25,NA,15,15,Sangamon
10851,1/11/26,NA,10,10,Cook
10852,1/1/22,1/13/25,13,16,Cook
10853,12/3/23,NA,4,6,Lawrence
10854,7/15/24,NA,15,16,Lake
10857,5/12/25,NA,7,8,Will
10858,6/25/26,NA,17,17,Cook
10859,7/20/24,2/24/26,15,16,Kane
10863,1/1/22,NA,13,17,DuPage
10865,1/1/22,3/30/23,7,8,Cook
10867,5/27/22,8/22/22,7,7,St. Clair
10871,4/15/26,NA,5,5,DuPage
10872,11/24/23,NA,0,2,Tazewell
10873,1/1/22,4/27/23,15,16,Cook
10875,2/19/25,NA,5,6,Vermilion
10876,5/18/22,NA,10,14,Lake
10878,1/1/22,6/26/24,7,9,Sangamon
10879,1/1/22,12/16/25,13,16,Winnebago
10880,1/1/22,NA,12,16,Lake
10881,5/7/23,5/10/26,1,4,McHenry
10882,2/27/22,NA,13,17,Cook
10883,6/13/26,NA,1,1,Cook
10886,6/10/23,NA,6,9,Kendall
10887,1/1/22,NA,12,16,Cook
10891,1/1/22,5/10/22,8,8,Tazewell
10892,5/20/23,NA,12,15,DuPage
10894,9/10/25,NA,17,17,St. Clair
10896,1/1/22,NA,4,8,Logan
10900,5/2/22,6/1/23,7,8,Cook
10902,1/1/22,10/5/24,2,4,Cook
10903,1/1/22,9/23/24,8,10,Madison
10905,2/1/22,10/29/24,3,5,Lake
10907,11/10/23,11/18/24,2,3,Adams
10908,1/1/22,3/21/25,3,6,De Witt
10909,6/7/24,NA,9,11,Cook
10914,2/17/25,NA,4,5,Will
10915,1/1/22,6/9/24,3,5,St. Clair
10916,1/1/22,5/11/25,0,3,Cook
10917,1/1/22,10/25/25,10,13,Jasper
10918,1/1/22,NA,13,17,DuPage
10919,4/9/24,4/16/24,11,11,Cook
10921,1/1/22,NA,10,14,Madison
10923,1/1/22,12/2/24,15,17,LaSalle
10925,4/9/25,11/7/25,4,4,DuPage
10926,3/16/24,NA,14,16,Lake
10928,5/7/24,NA,14,16,DuPage
10929,6/7/23,6/10/23,13,13,Cook
10930,1/1/22,NA,13,17,Lake
10931,7/22/22,NA,14,17,Cook
10932,7/15/23,1/7/24,12,12,Will
10933,1/26/25,4/30/25,0,0,Will
10934,6/22/24,NA,7,9,Fayette
10935,1/1/22,NA,0,4,DuPage
10936,12/25/22,NA,13,16,Will
10940,1/1/22,6/28/25,9,12,Cook
10942,1/1/22,NA,9,13,Stephenson
10944,1/1/22,2/18/25,9,12,Lake
10947,1/1/22,7/11/24,13,15,Rock Island
10952,9/3/25,NA,4,4,Cook
10953,1/1/22,NA,13,17,Will
10955,2/17/22,10/31/23,6,7,Kankakee
10956,1/1/22,NA,10,14,Cook
10957,9/8/23,NA,7,9,Tazewell
10960,9/11/25,2/24/26,13,13,DuPage
10961,9/30/24,NA,6,7,Lake
10962,1/1/22,10/16/23,7,8,DuPage
10965,1/1/22,6/22/22,9,9,Cook
10968,3/30/23,4/19/25,15,17,Will
10969,7/8/22,NA,11,14,Madison
10970,1/1/22,12/7/23,13,14,Jefferson
10971,1/1/22,6/9/23,15,16,Cook
10972,1/1/22,2/16/22,14,14,Marshall
10974,4/18/22,4/24/22,16,16,DuPage
10976,1/1/22,NA,1,5,Saline
10977,1/1/22,3/8/24,2,4,St. Clair
10979,1/3/25,NA,14,15,Lake
10980,1/1/22,4/15/23,15,16,Vermilion
10983,2/3/26,NA,0,0,Cook
10985,1/1/22,9/25/23,2,3,Rock Island
10986,1/1/22,NA,3,7,DuPage
10987,12/15/22,4/26/23,11,11,Adams
10990,10/15/24,NA,2,3,Will
10993,1/1/22,4/2/23,5,6,DuPage
10994,1/1/22,8/17/23,13,14,DeKalb
10996,3/18/25,NA,0,1,Cook
10998,1/1/22,NA,10,14,Adams
10999,3/1/22,NA,8,12,DuPage
11001,4/2/23,3/9/24,16,16,Sangamon
11002,1/1/22,10/20/24,5,7,Wayne
11003,12/19/24,NA,11,12,Cook
11004,1/1/22,10/13/22,5,5,Grundy
11005,1/1/22,NA,6,10,DeKalb
11007,8/21/25,NA,0,0,Lake
11011,7/23/23,NA,3,5,DuPage
11016,8/9/22,NA,2,5,Cook
11017,1/1/22,NA,12,16,Kane
11022,11/26/23,NA,3,5,Monroe
11023,12/8/23,6/22/24,8,8,Will
11024,1/1/22,9/16/22,17,17,Kane
11027,11/27/24,NA,10,11,Winnebago
11029,11/6/22,5/8/24,15,16,Will
11031,2/12/25,NA,4,5,Will
11032,1/1/22,8/18/24,5,7,Cook
11034,1/1/22,5/9/25,11,14,Cook
11036,11/22/22,NA,9,12,Montgomery
11038,1/1/22,7/1/24,3,5,Kankakee
11039,3/27/26,NA,6,6,Cook
11040,3/20/25,9/7/25,9,9,McLean
11041,8/28/22,NA,1,4,Winnebago
11042,1/1/22,NA,1,5,Lake
11044,2/6/25,NA,12,13,Tazewell
11045,7/10/24,5/16/25,5,5,Kane
11046,1/4/24,NA,3,5,Clinton
11047,4/12/22,8/18/25,14,17,Kane
11049,11/3/25,NA,15,15,Livingston
11050,1/1/22,NA,6,10,Kane
11053,1/1/22,7/21/24,14,16,Lake
11055,1/13/22,9/6/25,7,10,Shelby
11056,1/10/23,NA,6,9,Kendall
11057,3/24/26,NA,4,4,Lake
11059,2/7/23,NA,2,5,Cook
11060,10/12/25,NA,7,7,Kane
11061,1/1/22,6/9/22,1,1,Will
11064,1/1/22,3/10/23,5,6,Macoupin
11066,1/1/22,2/26/23,15,16,Tazewell
11069,1/1/22,NA,0,4,Grundy
11070,1/1/22,NA,10,14,Lake
11071,2/21/23,3/16/25,11,13,Henry
11073,4/24/25,NA,6,7,Cook
11074,1/1/22,NA,9,13,DuPage
11075,1/1/22,3/10/23,2,3,Winnebago
11076,7/30/24,NA,10,11,Moultrie
11077,3/26/25,NA,9,10,Kane
11081,9/26/24,10/22/25,5,6,Will
11082,11/29/23,NA,7,9,Cook
11084,1/1/22,NA,13,17,Mercer
11087,2/26/25,4/5/25,15,15,Cook
11088,2/11/24,NA,10,12,Cook
11090,1/1/22,NA,4,8,Macoupin
11091,11/4/25,NA,0,0,Will
11095,10/29/23,4/13/24,17,17,DuPage
11097,1/1/22,12/24/22,14,14,Franklin
11102,1/1/22,NA,13,17,Cook
11104,1/1/22,4/28/26,1,5,Cook
11105,1/1/22,NA,1,5,Madison
11106,11/24/23,4/27/26,12,14,Cook
11107,4/17/22,NA,6,10,DuPage
11108,1/1/22,7/9/25,4,7,Cook
11109,1/1/22,7/15/22,14,14,DeKalb
11112,8/15/25,NA,13,13,Cook
11114,3/2/25,10/2/25,9,9,Vermilion
11116,9/21/24,NA,13,14,DuPage
11117,6/17/25,7/27/25,12,12,Lake
11118,1/22/24,NA,10,12,McHenry
11119,1/1/22,3/15/22,9,9,Cook
11123,1/1/22,NA,12,16,Cook
11125,2/21/22,3/15/22,9,9,Hamilton
11127,7/15/23,NA,14,16,Kane
11128,8/16/22,NA,4,7,LaSalle
11129,12/31/22,6/30/25,15,17,Woodford
11130,1/1/22,2/8/24,12,14,Sangamon
11131,5/10/24,NA,0,2,Massac
11132,5/2/22,NA,6,10,Cook
11134,1/1/22,12/18/22,4,4,Jefferson
11136,1/1/22,3/28/24,2,4,Knox
11137,6/2/24,NA,15,17,Kankakee
11138,4/2/23,NA,2,5,Lake
11139,8/30/25,NA,16,16,Cook
11142,1/1/22,9/28/23,6,7,Lake
11144,1/1/22,NA,7,11,DuPage
11146,1/1/22,3/17/22,4,4,Jackson
11147,1/1/22,11/16/23,13,14,Lake
11148,1/1/22,4/5/23,4,5,DuPage
11149,1/1/22,4/19/23,2,3,Peoria
11151,10/24/23,NA,9,11,Whiteside
11153,2/8/23,NA,2,5,Will
11154,1/1/22,4/13/26,11,15,Champaign
11156,1/1/22,11/20/25,0,3,Cook
11158,1/1/22,NA,13,17,Cook
